# cluster_name	protein_number	swiss_prot_id	go_annotation	protein_list
cluster12779	2	Q5ZKT6	GO:0018022; P:peptidyl-lysine methylation; ISS:UniProtKB	bGalGal|ENSGALP00010007746.1;bVulGry|ENSGALT00010013187.1
cluster12781	2	O94991	GO:0021756; P:striatum development; IEA:Ensembl	bGalGal|ENSGALP00010008298.1;bVulGry|ENSGALT00010014079.1
cluster12782	2	Q5E978	GO:0046513; P:ceramide biosynthetic process; IEA:Ensembl	bGalGal|ENSGALP00010008326.1;bVulGry|ENSGALT00010014136.4
cluster12789	2	P32115	GO:0060041; P:retina development in camera-type eye; IEA:Ensembl	bGalGal|ENSGALP00010008798.1;bGymCal|ENSGALT00010014945.174
cluster12791	2	P11717	GO:0007283; P:spermatogenesis; IEA:Ensembl	bGalGal|ENSGALP00010008957.1;bGymCal|ENSGALT00010015240.3
cluster12793	2	P62312	GO:0008033; P:tRNA processing; IEA:UniProtKB-KW	bGalGal|ENSGALP00010009047.1;bVulGry|ENSGALT00010015514.5
cluster12796	2	Q7Z609	GO:0007165; P:signal transduction; TAS:ProtInc	bGalGal|ENSGALP00010009169.1;bVulGry|ENSGALT00010015841.1
cluster12798	2	Q90YG6	GO:0006367; P:transcription initiation from RNA polymerase II promoter; IEA:InterPro	bGalGal|ENSGALP00010009241.1;bVulGry|ENSGALT00010016086.5
cluster12801	2	Q8NA31	GO:0007129; P:synapsis; ISS:UniProtKB	bGalGal|ENSGALP00010009454.1;bGymCal|ENSGALT00010016787.12
cluster12804	2	P16885	GO:0016055; P:Wnt signaling pathway; TAS:UniProtKB	bGalGal|ENSGALP00010009747.1;bVulGry|ENSGALT00010017633.12
cluster12806	2	Q5ZHW7	GO:0051489; P:regulation of filopodium assembly; ISS:UniProtKB	bGalGal|ENSGALP00010010036.1;bVulGry|ENSGALT00010018268.2
cluster12807	2	E1BRE2	GO:0010566; P:regulation of ketone biosynthetic process; ISS:UniProtKB	bGalGal|ENSGALP00010010120.1;bVulGry|ENSGALT00010018502.2
cluster12813	2	A6NKX4	GO:0006811; P:ion transport; IEA:UniProtKB-KW	bGalGal|ENSGALP00010010542.1;bVulGry|ENSGALT00010018993.12
cluster12815	2	Q642A4	N/A	bGalGal|ENSGALP00010010620.1;bVulGry|ENSGALT00010019071.139
cluster12818	2	Q0VGZ7	GO:0007089; P:traversing start control point of mitotic cell cycle; TAS:ProtInc	bGalGal|ENSGALP00010010753.1;bVulGry|ENSGALT00010019202.12
cluster12820	2	P16332	GO:0009791; P:post-embryonic development; IMP:MGI	bGalGal|ENSGALP00010010882.1;bGymCal|ENSGALT00010019334.29
cluster12821	2	Q6ZN54	GO:1900029; P:positive regulation of ruffle assembly; ISS:UniProtKB	bGalGal|ENSGALP00010010887.1;bVulGry|ENSGALT00010019339.12
cluster12826	2	Q969X6	GO:0006364; P:rRNA processing; TAS:Reactome	bGalGal|ENSGALP00010011049.1;bVulGry|ENSGALT00010019501.12
cluster12827	2	P15143	GO:0001223; F:transcription coactivator binding; IPI:AgBase	bGalGal|ENSGALP00010011137.1;bGymCal|ENSGALT00010019589.1
cluster12828	2	P50228	GO:0032496; P:response to lipopolysaccharide; IMP:MGI	bGalGal|ENSGALP00010011175.1;bGymCal|ENSGALT00010019627.139
cluster12832	2	Q96F63	GO:0005686; C:U2 snRNP; IBA:GO_Central	bGalGal|ENSGALP00010011473.1;bVulGry|ENSGALT00010019925.24717
cluster12834	2	Q8WVL7	GO:0007283; P:spermatogenesis; IEA:UniProtKB-KW	bGalGal|ENSGALP00010011781.1;bVulGry|ENSGALT00010020263.1
cluster12837	2	Q4R3D4	GO:0003746; F:translation elongation factor activity; IEA:UniProtKB-KW	bGalGal|ENSGALP00010011845.1;bGymCal|ENSGALT00010020392.2
cluster12842	2	O43424	GO:0035249; P:synaptic transmission, glutamatergic; ISS:BHF-UCL	bGalGal|ENSGALP00010012304.1;bGymCal|ENSGALT00010021600.45
cluster12843	2	A4FV45	GO:0006915; P:apoptotic process; IEA:UniProtKB-KW	bGalGal|ENSGALP00010012317.1;bVulGry|ENSGALT00010021618.29
cluster12848	2	Q28C65	GO:0006413; P:translational initiation; ISS:UniProtKB	bGalGal|ENSGALP00010012759.1;bVulGry|ENSGALT00010022219.129
cluster12849	2	Q8WUA4	GO:0042797; P:tRNA transcription by RNA polymerase III; IC:HGNC	bGalGal|ENSGALP00010012805.1;bVulGry|ENSGALT00010022275.307
cluster12853	2	N/A	N/A	bGalGal|ENSGALP00010013297.1;bVulGry|ENSGALT00010022997.7
cluster12854	2	Q5VZ46	N/A	bGalGal|ENSGALP00010013494.1;bVulGry|ENSGALT00010023352.25
cluster12860	2	Q16143	GO:0048488; P:synaptic vesicle endocytosis; IEA:Ensembl	bGalGal|ENSGALP00010013765.1;bVulGry|ENSGALT00010024168.13
cluster12861	2	Q8N7B6	N/A	bGalGal|ENSGALP00010013980.1;bGymCal|ENSGALT00010024631.5
cluster12862	2	Q7Z5K2	GO:0016032; P:viral process; IEA:UniProtKB-KW	bGalGal|ENSGALP00010014018.1;bVulGry|ENSGALT00010024714.8
cluster12863	2	Q8N357	GO:0008284; P:positive regulation of cell proliferation; IMP:UniProtKB	bGalGal|ENSGALP00010014076.1;bVulGry|ENSGALT00010024825.3
cluster12865	2	Q7Z7M9	GO:0016266; P:O-glycan processing; TAS:Reactome	bGalGal|ENSGALP00010014260.1;bVulGry|ENSGALT00010025129.7
cluster12866	2	Q9Y6X4	GO:0005637; C:nuclear inner membrane; IEA:UniProtKB-SubCell	bGalGal|ENSGALP00010014318.1;bGymCal|ENSGALT00010025301.349
cluster12867	2	Q9NRX7	GO:1900383; P:regulation of synaptic plasticity by receptor localization to synapse; IEA:InterPro	bGalGal|ENSGALP00010014325.1;bVulGry|ENSGALT00010025299.1
cluster12868	2	O60318	GO:0015031; P:protein transport; IEA:UniProtKB-KW	bGalGal|ENSGALP00010014341.1;bVulGry|ENSGALT00010025335.28
cluster12870	2	Q9BQS2	GO:0016192; P:vesicle-mediated transport; IBA:GO_Central	bGalGal|ENSGALP00010014419.1;bGymCal|ENSGALT00010025538.8
cluster12881	2	Q3SZA2	GO:0033615; P:mitochondrial proton-transporting ATP synthase complex assembly; ISS:UniProtKB	bGalGal|ENSGALP00010014797.1;bGymCal|ENSGALT00010026173.1
cluster12883	2	Q9Y5Q9	GO:0042797; P:tRNA transcription by RNA polymerase III; IC:HGNC	bGalGal|ENSGALP00010014859.1;bGymCal|ENSGALT00010026235.7
cluster12886	2	Q8N7Z5	N/A	bGalGal|ENSGALP00010015085.1;bVulGry|ENSGALT00010026495.6
cluster12898	2	Q3T0D5	GO:0006412; P:translation; IEA:InterPro	bGalGal|ENSGALP00010015981.1;bVulGry|ENSGALT00010027855.2
cluster12902	2	P12981	GO:0007265; P:Ras protein signal transduction; ISS:UniProtKB	bGalGal|ENSGALP00010016431.1;bVulGry|ENSGALT00010028608.21
cluster12907	2	Q7RTY7	GO:0004252; F:serine-type endopeptidase activity; IEA:InterPro	bGalGal|ENSGALP00010016788.1;bVulGry|ENSGALT00010029029.1
cluster12911	2	Q6L9W6	GO:0033842; F:N-acetyl-beta-glucosaminyl-glycoprotein 4-beta-N-acetylgalactosaminyltransferase activity; IEA:UniProtKB-EC	bGalGal|ENSGALP00010017071.1;bGymCal|ENSGALT00010029391.1
cluster12912	2	Q8VHB5	GO:0046903; P:secretion; IMP:MGI	bGalGal|ENSGALP00010017108.1;bVulGry|ENSGALT00010029446.6
cluster12915	2	Q9CPQ3	GO:0051204; P:protein insertion into mitochondrial membrane; ISO:MGI	bGalGal|ENSGALP00010017751.1;bVulGry|ENSGALT00010030597.1
cluster12916	2	P41209	GO:0032465; P:regulation of cytokinesis; IBA:GO_Central	bGalGal|ENSGALP00010017913.1;bGymCal|ENSGALT00010030868.59542
cluster12919	2	Q29RP9	GO:0032543; P:mitochondrial translation; IEA:UniProtKB-UniRule	bGalGal|ENSGALP00010018192.1;bGymCal|ENSGALT00010031220.3
cluster12920	2	P07313	GO:0032971; P:regulation of muscle filament sliding; IC:BHF-UCL	bGalGal|ENSGALP00010018210.1;bVulGry|ENSGALT00010031245.19
cluster12924	2	P31361	GO:0045893; P:positive regulation of transcription, DNA-templated; IMP:UniProtKB	bGalGal|ENSGALP00010018366.1;bGymCal|ENSGALT00010031456.1
cluster12946	2	Q8IW45	GO:0034356; P:NAD biosynthesis via nicotinamide riboside salvage pathway; TAS:Reactome	bGalGal|ENSGALP00010020300.1;bGymCal|ENSGALT00010034573.50
cluster12953	2	A6NI79	GO:0051255; P:spindle midzone assembly; IMP:UniProtKB	bGalGal|ENSGALP00010020636.1;bGymCal|ENSGALT00010035503.13
cluster12955	2	P10184	GO:0051412; P:response to corticosterone; IDA:AgBase	bGalGal|ENSGALP00010020720.1;bVulGry|ENSGALT00010035713.13
cluster12956	2	Q99MA2	GO:0070006; F:metalloaminopeptidase activity; IEA:InterPro	bGalGal|ENSGALP00010020773.1;bVulGry|ENSGALT00010035812.58
cluster12958	2	Q8TDR0	GO:0070507; P:regulation of microtubule cytoskeleton organization; IMP:UniProtKB	bGalGal|ENSGALP00010020985.1;bVulGry|ENSGALT00010036126.28
cluster12959	2	Q5M7X9	GO:0016567; P:protein ubiquitination; ISS:UniProtKB	bGalGal|ENSGALP00010021095.1;bVulGry|ENSGALT00010036278.9
cluster12960	2	Q9Y3A3	GO:0046872; F:metal ion binding; IEA:UniProtKB-KW	bGalGal|ENSGALP00010021153.1;bGymCal|ENSGALT00010036366.7
cluster12962	2	P59729	GO:0007165; P:signal transduction; IEA:InterPro	bGalGal|ENSGALP00010021541.1;bVulGry|ENSGALT00010037046.4
cluster12965	2	Q8NFQ5	GO:0008289; F:lipid binding; IEA:InterPro	bGalGal|ENSGALP00010021613.1;bVulGry|ENSGALT00010037239.19
cluster12969	2	Q9Z220	GO:0007283; P:spermatogenesis; IEA:InterPro	bGalGal|ENSGALP00010021946.1;bVulGry|ENSGALT00010038012.1
cluster12972	2	Q9H2M9	GO:0043087; P:regulation of GTPase activity; ISS:UniProtKB	bGalGal|ENSGALP00010022373.1;bGymCal|ENSGALT00010038680.3
cluster12974	2	Q9CQN1	GO:0009386; P:translational attenuation; ISO:MGI	bGalGal|ENSGALP00010022718.1;bVulGry|ENSGALT00010039389.30
cluster12976	2	P82929	GO:0032543; P:mitochondrial translation; HDA:UniProtKB	bGalGal|ENSGALP00010023030.1;bGymCal|ENSGALT00010039802.30
cluster12978	2	Q14209	GO:0006367; P:transcription initiation from RNA polymerase II promoter; TAS:ProtInc	bGalGal|ENSGALP00010023101.1;bVulGry|ENSGALT00010039904.68
cluster12979	2	P97440	GO:0033260; P:nuclear DNA replication; ISS:UniProtKB	bGalGal|ENSGALP00010023223.1;bVulGry|ENSGALT00010040074.5
cluster12985	2	Q96C24	GO:0050714; P:positive regulation of protein secretion; IMP:UniProtKB	bGalGal|ENSGALP00010023421.1;bGymCal|ENSGALT00010040375.444
cluster12990	2	Q58CS7	GO:0000920; P:septum digestion after cytokinesis; IBA:GO_Central	bGalGal|ENSGALP00010023936.1;bVulGry|ENSGALT00010040972.5
cluster12993	2	Q8N729	GO:0007218; P:neuropeptide signaling pathway; IEA:UniProtKB-KW	bGalGal|ENSGALP00010024220.1;bVulGry|ENSGALT00010041346.27
cluster12997	2	Q5F3X0	GO:0006644; P:phospholipid metabolic process; IBA:GO_Central	bGalGal|ENSGALP00010024760.1;bVulGry|ENSGALT00010042250.26
cluster13001	2	P46197	GO:0007165; P:signal transduction; IBA:GO_Central	bGalGal|ENSGALP00010024949.1;bGymCal|ENSGALT00010042460.54
cluster13002	2	Q99427	GO:0007165; P:signal transduction; NAS:UniProtKB	bGalGal|ENSGALP00010024995.1;bVulGry|ENSGALT00010042505.53
cluster13006	2	Q8K4Z2	GO:0014850; P:response to muscle activity; IDA:UniProtKB	bGalGal|ENSGALP00010025275.1;bGymCal|ENSGALT00010042786.44
cluster13013	2	Q8BJM3	N/A	bGalGal|ENSGALP00010025474.1;bGymCal|ENSGALT00010042984.8
cluster13018	2	Q53RD9	GO:0007155; P:cell adhesion; IEA:UniProtKB-KW	bGalGal|ENSGALP00010025784.1;bVulGry|ENSGALT00010043382.54
cluster13020	2	B5FYC7	N/A	bGalGal|ENSGALP00010025894.1;bGymCal|ENSGALT00010043531.159
cluster13024	2	Q8TE04	GO:0009108; P:coenzyme biosynthetic process; TAS:Reactome	bGalGal|ENSGALP00010026100.1;bVulGry|ENSGALT00010043887.8
cluster13027	2	Q8WVF1	GO:0009925; C:basal plasma membrane; IEA:UniProtKB-SubCell	bGalGal|ENSGALP00010026197.1;bVulGry|ENSGALT00010044073.44
cluster13028	2	Q01101	GO:0003309; P:type B pancreatic cell differentiation; ISS:UniProtKB	bGalGal|ENSGALP00010026227.1;bVulGry|ENSGALT00010044114.54
cluster13030	2	Q9P286	GO:0031098; P:stress-activated protein kinase signaling cascade; IBA:GO_Central	bGalGal|ENSGALP00010026383.1;bVulGry|ENSGALT00010044340.26
cluster13040	2	N/A	N/A	bGalGal|ENSGALP00010027472.1;bVulGry|ENSGALT00010046085.55
cluster13043	2	Q9Y540	GO:1900535; P:palmitic acid biosynthetic process; IDA:BHF-UCL	bGalGal|ENSGALP00010027591.1;bVulGry|ENSGALT00010046315.35
cluster13044	2	P19536	GO:0006123; P:mitochondrial electron transport, cytochrome c to oxygen; IBA:GO_Central	bGalGal|ENSGALP00010027593.1;bGymCal|ENSGALT00010046328.2843
cluster13045	2	O55208	GO:0045944; P:positive regulation of transcription by RNA polymerase II; IDA:NTNU_SB	bGalGal|ENSGALP00010027756.1;bVulGry|ENSGALT00010046603.110
cluster13047	2	Q06889	GO:0006357; P:regulation of transcription by RNA polymerase II; IBA:GO_Central	bGalGal|ENSGALP00010027827.1;bGymCal|ENSGALT00010046730.43
cluster13056	2	B7ZNG0	GO:0045880; P:positive regulation of smoothened signaling pathway; IMP:UniProtKB	bGalGal|ENSGALP00010028397.1;bVulGry|ENSGALT00010048126.11
cluster13057	2	Q5ZHQ2	GO:0030246; F:carbohydrate binding; IEA:UniProtKB-KW	bGalGal|ENSGALP00010028409.1;bVulGry|ENSGALT00010048157.4
cluster13065	2	Q9C0C4	GO:0071526; P:semaphorin-plexin signaling pathway; ISS:UniProtKB	bGalGal|ENSGALP00010029195.1;bVulGry|ENSGALT00010049391.110
cluster13067	2	Q8JHZ8	GO:0004725; F:protein tyrosine phosphatase activity; IBA:GO_Central	bGalGal|ENSGALP00010029361.1;bGymCal|ENSGALT00010049696.52
cluster13069	2	Q3SZR0	GO:0007049; P:cell cycle; IEA:UniProtKB-KW	bGalGal|ENSGALP00010029389.1;bVulGry|ENSGALT00010049739.8
cluster13070	2	Q3MHH4	GO:0045892; P:negative regulation of transcription, DNA-templated; IBA:GO_Central	bGalGal|ENSGALP00010029410.1;bGymCal|ENSGALT00010049772.14
cluster13071	2	Q9GZV1	GO:0035914; P:skeletal muscle cell differentiation; IBA:GO_Central	bGalGal|ENSGALP00010029438.1;bVulGry|ENSGALT00010049834.8
cluster13078	2	Q6UXS0	GO:0030246; F:carbohydrate binding; IEA:UniProtKB-KW	bGalGal|ENSGALP00010029905.1;bGymCal|ENSGALT00010050651.57
cluster13080	2	Q96PE1	GO:0016055; P:Wnt signaling pathway; IEA:UniProtKB-KW	bGalGal|ENSGALP00010030053.1;bVulGry|ENSGALT00010050870.40
cluster13081	2	O75607	GO:0009303; P:rRNA transcription; IEA:Ensembl	bGalGal|ENSGALP00010030080.1;bVulGry|ENSGALT00010050893.8
cluster13082	2	B0BNM9	GO:0120009; P:intermembrane lipid transfer; IBA:GO_Central	bGalGal|ENSGALP00010030099.1;bVulGry|ENSGALT00010050908.22
cluster13084	2	P83242	GO:0005576; C:extracellular region; TAS:UniProtKB	bGalGal|ENSGALP00010030364.1;bGymCal|ENSGALT00010051176.8
cluster13086	2	Q9H987	GO:0045214; P:sarcomere organization; ISS:BHF-UCL	bGalGal|ENSGALP00010030608.1;bGymCal|ENSGALT00010051417.8
cluster13087	2	O43716	GO:0006450; P:regulation of translational fidelity; IEA:InterPro	bGalGal|ENSGALP00010030782.1;bVulGry|ENSGALT00010051614.48
cluster13092	2	Q0II50	GO:0034477; P:U6 snRNA 3'-end processing; ISS:UniProtKB	bGalGal|ENSGALP00010031047.1;bVulGry|ENSGALT00010052013.12
cluster13095	2	Q5EAE2	GO:0090043; P:regulation of tubulin deacetylation; IEA:Ensembl	bGalGal|ENSGALP00010031278.1;bVulGry|ENSGALT00010052340.14
cluster13098	2	Q9D8Z1	GO:0006355; P:regulation of transcription, DNA-templated; ISO:MGI	bGalGal|ENSGALP00010031492.1;bGymCal|ENSGALT00010052582.52
cluster13099	2	Q96EV8	GO:2000300; P:regulation of synaptic vesicle exocytosis; IEA:Ensembl	bGalGal|ENSGALP00010031583.1;bGymCal|ENSGALT00010052677.19
cluster13100	2	Q8C9X4	GO:0035610; P:protein side chain deglutamylation; IDA:UniProtKB	bGalGal|ENSGALP00010031732.1;bVulGry|ENSGALT00010052826.62
cluster13102	2	O97902	GO:0071803; P:positive regulation of podosome assembly; IBA:GO_Central	bGalGal|ENSGALP00010032035.1;bVulGry|ENSGALT00010053170.71
cluster13106	2	Q86VV3	GO:0034656; P:nucleobase-containing small molecule catabolic process; TAS:Reactome	bGalGal|ENSGALP00010032380.1;bVulGry|ENSGALT00010053751.8
cluster13107	2	P35227	GO:0000122; P:negative regulation of transcription by RNA polymerase II; IMP:UniProtKB	bGalGal|ENSGALP00010032379.1;bGymCal|ENSGALT00010053791.36
cluster13113	2	Q3SZV8	GO:0001302; P:replicative cell aging; ISS:UniProtKB	bGalGal|ENSGALP00010032585.1;bVulGry|ENSGALT00010054052.71
cluster13114	2	Q2TBF2	GO:0016021; C:integral component of membrane; IEA:UniProtKB-KW	bGalGal|ENSGALP00010032770.1;bGymCal|ENSGALT00010054269.21
cluster13118	2	Q9BYL1	N/A	bGalGal|ENSGALP00010033190.1;bGymCal|ENSGALT00010054897.19
cluster13122	2	P00516	GO:0043087; P:regulation of GTPase activity; ISS:UniProtKB	bGalGal|ENSGALP00010033659.1;bVulGry|ENSGALT00010055557.52
cluster13129	2	Q99L90	GO:0045944; P:positive regulation of transcription by RNA polymerase II; IBA:GO_Central	bGalGal|ENSGALP00010034036.1;bVulGry|ENSGALT00010056222.125
cluster13134	2	Q9H0I3	GO:0060271; P:cilium assembly; IMP:UniProtKB	bGalGal|ENSGALP00010034176.1;bVulGry|ENSGALT00010056433.12
cluster13135	2	Q5I947	GO:0061418; P:regulation of transcription from RNA polymerase II promoter in response to hypoxia; IMP:UniProtKB	bGalGal|ENSGALP00010034179.1;bGymCal|ENSGALT00010056436.82
cluster13136	2	Q6DIS8	GO:0016055; P:Wnt signaling pathway; IEA:UniProtKB-KW	bGalGal|ENSGALP00010034235.1;bVulGry|ENSGALT00010056492.8
cluster13137	2	Q5ZKT9	GO:0031937; P:positive regulation of chromatin silencing; ISS:UniProtKB	bGalGal|ENSGALP00010034319.1;bGymCal|ENSGALT00010056577.10
cluster13138	2	Q9UBG0	GO:0001649; P:osteoblast differentiation; HDA:UniProtKB	bGalGal|ENSGALP00010034270.1;bVulGry|ENSGALT00010056528.36
cluster13139	2	Q8N6V9	N/A	bGalGal|ENSGALP00010034350.1;bGymCal|ENSGALT00010056608.11
cluster13140	2	Q2KHR2	GO:0006357; P:regulation of transcription by RNA polymerase II; IBA:GO_Central	bGalGal|ENSGALP00010034369.1;bVulGry|ENSGALT00010056627.11
cluster13141	2	Q9HCU8	GO:0019985; P:translesion synthesis; TAS:Reactome	bGalGal|ENSGALP00010034461.1;bVulGry|ENSGALT00010056719.62
cluster13145	2	N/A	N/A	bGalGal|ENSGALP00010034831.1;bGymCal|ENSGALT00010057291.66
cluster13146	2	Q9BU68	N/A	bGalGal|ENSGALP00010035093.1;bVulGry|ENSGALT00010057827.36
cluster13157	2	Q5RDC7	GO:0033235; P:positive regulation of protein sumoylation; ISS:UniProtKB	bGalGal|ENSGALP00010036037.1;bVulGry|ENSGALT00010059073.10
cluster13160	2	Q8R0N9	GO:0006612; P:protein targeting to membrane; IBA:GO_Central	bGalGal|ENSGALP00010036310.1;bGymCal|ENSGALT00010059463.12
cluster13161	2	P97577	GO:0010976; P:positive regulation of neuron projection development; IMP:RGD	bGalGal|ENSGALP00010036406.1;bVulGry|ENSGALT00010059610.33
cluster13163	2	O70137	GO:0006355; P:regulation of transcription, DNA-templated; ISO:MGI	bGalGal|ENSGALP00010036479.1;bVulGry|ENSGALT00010059714.37
cluster13164	2	Q8C9M2	GO:0005813; C:centrosome; ISO:MGI	bGalGal|ENSGALP00010036574.1;bVulGry|ENSGALT00010059807.33
cluster13167	2	Q8C8H8	GO:0007528; P:neuromuscular junction development; IMP:MGI	bGalGal|ENSGALP00010036634.1;bVulGry|ENSGALT00010059880.61
cluster13169	2	A6QL48	GO:0001934; P:positive regulation of protein phosphorylation; ISS:UniProtKB	bGalGal|ENSGALP00010036738.1;bVulGry|ENSGALT00010059978.12
cluster13171	2	Q9UNN8	GO:0050819; P:negative regulation of coagulation; IMP:BHF-UCL	bGalGal|ENSGALP00010036782.1;bVulGry|ENSGALT00010060022.61
cluster13172	2	Q9H6A0	GO:0017112; F:Rab guanyl-nucleotide exchange factor activity; IDA:UniProtKB	bGalGal|ENSGALP00010036803.1;bVulGry|ENSGALT00010060044.37
cluster13173	2	Q9VWF4	GO:0006470; P:protein dephosphorylation; IBA:GO_Central	bGalGal|ENSGALP00010036811.1;bGymCal|ENSGALT00010060051.4
cluster13174	2	Q925F2	GO:0007156; P:homophilic cell adhesion via plasma membrane adhesion molecules; IDA:MGI	bGalGal|ENSGALP00010036863.1;bVulGry|ENSGALT00010060106.33
cluster13175	2	Q96DD7	GO:0016021; C:integral component of membrane; IEA:UniProtKB-KW	bGalGal|ENSGALP00010037020.1;bVulGry|ENSGALT00010060260.37
cluster13176	2	Q2KI74	GO:0043123; P:positive regulation of I-kappaB kinase/NF-kappaB signaling; IEA:Ensembl	bGalGal|ENSGALP00010037050.1;bVulGry|ENSGALT00010060291.12
cluster13177	2	Q7TN12	GO:0032494; P:response to peptidoglycan; ISS:UniProtKB	bGalGal|ENSGALP00010037054.1;bVulGry|ENSGALT00010060295.37
cluster13180	2	P07850	GO:0006790; P:sulfur compound metabolic process; IBA:GO_Central	bGalGal|ENSGALP00010037268.1;bVulGry|ENSGALT00010060509.91
cluster13182	2	Q2TBL9	GO:0006888; P:ER to Golgi vesicle-mediated transport; IBA:GO_Central	bGalGal|ENSGALP00010037470.1;bGymCal|ENSGALT00010060711.158
cluster13185	2	Q6NSQ9	GO:0006796; P:phosphate-containing compound metabolic process; ISO:MGI	bGalGal|ENSGALP00010037653.1;bGymCal|ENSGALT00010060906.24014
cluster13186	2	Q6INL2	N/A	bGalGal|ENSGALP00010037655.1;bVulGry|ENSGALT00010060894.92
cluster13187	2	P68248	GO:0007218; P:neuropeptide signaling pathway; IBA:GO_Central	bGalGal|ENSGALP00010037757.1;bVulGry|ENSGALT00010061007.36
cluster13194	2	Q8WUD4	N/A	bGalGal|ENSGALP00010038643.1;bVulGry|ENSGALT00010062498.39
cluster13201	2	P07093	GO:0061108; P:seminal vesicle epithelium development; IEA:Ensembl	bGalGal|ENSGALP00010039112.1;bVulGry|ENSGALT00010063389.9
cluster13204	2	Q62414	GO:0016567; P:protein ubiquitination; IDA:UniProtKB	bGalGal|ENSGALP00010039281.1;bVulGry|ENSGALT00010063634.36
cluster13207	2	B2D1U1	GO:0005496; F:steroid binding; ISS:UniProtKB	bGalGal|ENSGALP00010039403.1;bVulGry|ENSGALT00010063982.104
cluster13208	2	Q6FVQ8	GO:0045116; P:protein neddylation; IEA:UniProtKB-UniPathway	bGalGal|ENSGALP00010039419.1;bVulGry|ENSGALT00010064047.104
cluster13209	2	Q99LM3	GO:0042493; P:response to drug; IDA:MGI	bGalGal|ENSGALP00010039430.1;bVulGry|ENSGALT00010064083.104
cluster13210	2	P62072	GO:0007605; P:sensory perception of sound; TAS:UniProtKB	bGalGal|ENSGALP00010039437.1;bVulGry|ENSGALT00010064113.104
cluster13217	2	Q0V9C8	GO:0016192; P:vesicle-mediated transport; ISS:UniProtKB	bGalGal|ENSGALP00010040077.1;bVulGry|ENSGALT00010065810.45
cluster13218	2	Q14UF3	GO:0045730; P:respiratory burst; NAS:UniProtKB	bGalGal|ENSGALP00010040108.1;bGymCal|ENSGALT00010065842.38
cluster13219	2	Q8R0L1	GO:0035591; F:signaling adaptor activity; IEA:InterPro	bGalGal|ENSGALP00010040184.1;bVulGry|ENSGALT00010065918.76
cluster13221	2	Q13751	GO:0031581; P:hemidesmosome assembly; TAS:Reactome	bGalGal|ENSGALP00010040211.1;bGymCal|ENSGALT00010065945.38
cluster13222	2	Q9ULD5	GO:0046872; F:metal ion binding; IEA:UniProtKB-KW	bGalGal|ENSGALP00010040355.1;bVulGry|ENSGALT00010066089.2
cluster13226	2	Q3SZ97	GO:0016021; C:integral component of membrane; IEA:UniProtKB-KW	bGalGal|ENSGALP00010040594.1;bGymCal|ENSGALT00010066328.49
cluster13227	2	O96011	GO:0007165; P:signal transduction; ISS:UniProtKB	bGalGal|ENSGALP00010040735.1;bGymCal|ENSGALT00010066487.224
cluster13228	2	Q08D69	GO:0045893; P:positive regulation of transcription, DNA-templated; IBA:GO_Central	bGalGal|ENSGALP00010040754.1;bVulGry|ENSGALT00010066530.45
cluster13231	2	Q6DEN0	GO:0071569; P:protein ufmylation; ISS:UniProtKB	bGalGal|ENSGALP00010040826.1;bVulGry|ENSGALT00010066681.116
cluster13235	2	B2GV50	GO:0007286; P:spermatid development; ISS:UniProtKB	bGalGal|ENSGALP00010041301.1;bGymCal|ENSGALT00010067558.77
cluster13236	2	P49457	GO:0045916; P:negative regulation of complement activation; ISS:UniProtKB	bGalGal|ENSGALP00010041347.1;bGymCal|ENSGALT00010067604.38
cluster13237	2	Q5VZ18	GO:0001784; F:phosphotyrosine residue binding; IBA:GO_Central	bGalGal|ENSGALP00010041352.1;bVulGry|ENSGALT00010067609.87
cluster13238	2	Q2KIU2	GO:0019287; P:isopentenyl diphosphate biosynthetic process, mevalonate pathway; IBA:GO_Central	bGalGal|ENSGALP00010041371.1;bVulGry|ENSGALT00010067625.87
cluster13239	2	O88878	GO:0001944; P:vasculature development; IMP:MGI	bGalGal|ENSGALP00010041435.1;bGymCal|ENSGALT00010067690.77
cluster13240	2	Q3T138	GO:0005739; C:mitochondrion; ISS:UniProtKB	bGalGal|ENSGALP00010041560.1;bGymCal|ENSGALT00010067810.224
cluster13241	2	Q9Z1K7	GO:0016055; P:Wnt signaling pathway; IEA:UniProtKB-KW	bGalGal|ENSGALP00010041732.1;bVulGry|ENSGALT00010067989.45
cluster13243	2	Q9Z1P1	GO:0006486; P:protein glycosylation; IEA:UniProtKB-UniPathway	bGalGal|ENSGALP00010041762.1;bGymCal|ENSGALT00010068020.16
cluster13244	2	Q63961	GO:0042060; P:wound healing; ISO:MGI	bGalGal|ENSGALP00010041798.1;bVulGry|ENSGALT00010068055.16
cluster13245	2	Q5ZKN1	GO:0006368; P:transcription elongation from RNA polymerase II promoter; IBA:GO_Central	bGalGal|ENSGALP00010041820.1;bVulGry|ENSGALT00010068077.16
cluster13247	2	P46531	GO:0003222; P:ventricular trabecula myocardium morphogenesis; ISS:BHF-UCL	bGalGal|ENSGALP00010041847.1;bGymCal|ENSGALT00010068104.16
cluster13251	2	Q17Q97	N/A	bGalGal|ENSGALP00010042372.1;bVulGry|ENSGALT00010068930.45
cluster13253	2	Q7T3Y0	GO:0002040; P:sprouting angiogenesis; IMP:MGI	bGalGal|ENSGALP00010042394.1;bVulGry|ENSGALT00010068952.16
